Master Name,Workbook Birthdates Found,Existing World Name,Existing Record ID,Existing World Birthdate,Existing Canon,Existing Player Character,Birthdate Comparison,Action
Albus Dumbledore,,Albus Dumbledore,6e99daab-6798-4ce1-b451-060437fc037f,1881-08-08,False,False,No workbook birthdate evidence,Skipped; existing world.json entry preserved unchanged
Alice Tolipan,1984-07-31 — familytree-20250718-221014.json,Alice Tolipan,78ad93b3-82d8-4592-bb78-2b229e5b3857,1984-09-02,False,False,Birthdate differs: workbook 1984-07-31; world.json 1984-09-02,Skipped; existing world.json entry preserved unchanged
Alicia Spinnet,1977-12-10 — familytree-20250718-221014.json,Alicia Spinnet,8d725029-e682-4691-b9c3-0afb04b2ba74,1977-12-15,True,False,Birthdate differs: workbook 1977-12-10; world.json 1977-12-15,Skipped; existing world.json entry preserved unchanged
Angelina Johnson,1977-09-08 — familytree-20250718-221014.json,Angelina Johnson,015ddb5b-ce96-4b8e-9e13-79117199f292,1977-10-27,False,False,Birthdate differs: workbook 1977-09-08; world.json 1977-10-27,Skipped; existing world.json entry preserved unchanged
Anthony Goldstein,1979-01-24 — familytree-20250718-221014.json,Anthony Goldstein,1ed2c18c-fbba-40db-925a-9cd4236416e2,1980-01-31,False,False,Birthdate differs: workbook 1979-01-24; world.json 1980-01-31,Skipped; existing world.json entry preserved unchanged
Argus Filch,"1930 — 260815031807_people_formidable_entries.csv
1930-04-17 — 260815031751_character_formidable_entries.csv",Argus Filch,7e5d8c0f-2f5e-432d-86f2-674f4d0fadeb,1948-05-05,False,False,Birthdate differs: workbook 1930-04-17; world.json 1948-05-05,Skipped; existing world.json entry preserved unchanged
Arthur Weasley,1950-02-06 — familytree-20250718-221014.json,Arthur Weasley,c35c9332-dbd4-4680-8d5a-eb9872d9026f,1950-02-06,False,False,Compatible birthdate evidence,Skipped; existing world.json entry preserved unchanged
Bill Weasley,1970-11-29 — familytree-20250718-221014.json,Bill Weasley,fa1e0297-4fc5-4e77-a992-381306d84881,1970-11-29,False,False,Compatible birthdate evidence,Skipped; existing world.json entry preserved unchanged
Cho Chang,"CONFLICT
1977-10-31 — familytree-20250718-221014.json
1979-04-07 — 260815031751_character_formidable_entries.csv",Cho Chang,0b355b5f-1659-43fa-b7bf-7f3838959c9a,1979-05-15,False,False,Workbook has conflicting birthdates; existing entry preserved,Skipped; existing world.json entry preserved unchanged
Colin Creevey,c. 1981 — HouseRosters.xlsm.xlsx (inferred from cohort),Colin Creevey,305a05a2-7ec1-403b-b00d-8678bb896fcb,1982-01-29,False,False,Birthdate differs: workbook 1981; world.json 1982-01-29,Skipped; existing world.json entry preserved unchanged
Dean Thomas,1980-01-07 — 260815031751_character_formidable_entries.csv,Dean Thomas,176b841b-540b-434e-add7-5120223b7f6f,1980-01-07,False,False,Compatible birthdate evidence,Skipped; existing world.json entry preserved unchanged
Dennis Creevey,c. 1982 — HouseRosters.xlsm.xlsx (inferred from cohort),Dennis Creevey,135c0ffb-6c82-4918-94c5-dde857c2ed5f,1983-06-12,False,False,Birthdate differs: workbook 1982; world.json 1983-06-12,Skipped; existing world.json entry preserved unchanged
Ernie Macmillan,c. 1980 — HouseRosters.xlsm.xlsx (inferred from cohort),Ernie Macmillan,1c2e6c15-b2d9-4981-856b-505f2a462b4f,1980-03-12,True,False,Compatible birthdate evidence,Skipped; existing world.json entry preserved unchanged
Euan Bruce,,Euan Bruce,a7bc9826-202b-47c5-876e-bed43ac5c92d,1957,False,False,No workbook birthdate evidence,Skipped; existing world.json entry preserved unchanged
